Comment,Designator,Footprint,LCSC Part #
CAP CER 10UF 10V X7R 0805,"C1, C3, C5",SMD-0805,C440198
CAP CER 22UF 10V X5R 0805,"C2, C4, C6",SMD-0805,C45783
1uH Inductor,"L1, L2, L3",IND-4.30x4.00mm,C325988
10k 0805 Resistor,"R2, R10, R15",SMD-0603,C25804
180k 0805 Resistor,"R3, R8, R13",SMD-0603,C22827
0ohm 0805 Resistor,"R6, R11, R16",SMD-0603,C21189
TPS62082DSGR,"U1, U2, U3",WDFN-8_EP_2.0x2.0x0.5P,C485809
